Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
BGIFUT;08/12/2023;248,55;248,55;247,00;247,15;85.145.478,00;1.042
BGIFUT;07/12/2023;250,50;250,95;248,00;248,55;105.902.709,00;1.289
BGIFUT;06/12/2023;250,70;251,15;249,70;250,85;52.641.979,50;637
BGIFUT;05/12/2023;248,90;250,70;248,90;250,70;69.767.280,00;845
BGIFUT;04/12/2023;249,80;251,50;248,70;248,90;96.184.753,50;1.165
BGIFUT;01/12/2023;248,80;250,10;248,10;249,60;67.295.827,50;817
BGIFUT;30/11/2023;248,20;249,30;247,60;248,90;91.333.110,00;1.113
BGIFUT;29/11/2023;246,85;249,00;246,80;248,30;165.768.900,00;2.021
BGIFUT;28/11/2023;245,90;248,00;245,60;247,00;106.311.117,00;1.304
BGIFUT;27/11/2023;244,95;246,00;243,80;246,00;62.589.285,00;774
BGIFUT;24/11/2023;237,30;238,95;237,00;237,75;24.673.506,00;314
BGIFUT;23/11/2023;239,90;239,90;237,50;237,60;98.632.182,00;1.254
BGIFUT;22/11/2023;239,10;239,95;238,00;239,95;99.475.150,50;1.262
BGIFUT;21/11/2023;240,00;240,95;238,70;239,10;59.066.254,50;748
BGIFUT;20/11/2023;239,75;241,45;238,50;239,80;55.905.052,50;708
BGIFUT;17/11/2023;239,00;241,05;237,50;239,75;136.958.217,00;1.734
BGIFUT;16/11/2023;240,40;240,50;238,00;239,00;137.497.338,00;1.740
BGIFUT;14/11/2023;241,20;241,40;239,70;240,50;74.853.801,00;943
BGIFUT;13/11/2023;237,50;240,95;237,50;240,90;130.902.271,50;1.653
BGIFUT;10/11/2023;238,40;238,95;237,50;237,60;44.930.341,50;572
BGIFUT;09/11/2023;238,50;239,25;237,50;238,50;69.771.933,00;887
BGIFUT;08/11/2023;236,00;239,45;235,10;238,45;135.675.408,00;1.732
BGIFUT;07/11/2023;237,85;238,80;235,75;236,40;111.524.902,50;1.424
BGIFUT;06/11/2023;235,10;237,50;234,60;237,50;84.519.633,00;1.084
BGIFUT;03/11/2023;233,00;235,50;232,95;235,15;57.709.327,50;748
BGIFUT;01/11/2023;235,20;235,20;232,65;233,20;147.390.375,00;1.908
BGIFUT;31/10/2023;237,30;238,20;235,05;235,10;144.382.854,00;1.852
BGIFUT;30/10/2023;237,90;238,45;236,65;237,80;102.055.288,50;1.302
BGIFUT;27/10/2023;239,70;240,60;239,00;240,25;57.072.873,00;721
BGIFUT;26/10/2023;238,20;239,35;237,30;238,95;60.687.709,50;770
BGIFUT;25/10/2023;237,50;238,90;237,30;237,95;97.007.955,00;1.235
BGIFUT;24/10/2023;238,45;238,50;237,50;237,75;75.106.564,50;956
BGIFUT;23/10/2023;237,75;238,95;236,75;238,00;75.460.539,00;960
BGIFUT;20/10/2023;238,50;239,80;237,55;237,85;95.466.541,50;1.215
BGIFUT;19/10/2023;238,10;238,50;236,60;238,40;153.730.896,00;1.962
BGIFUT;18/10/2023;238,20;239,50;237,40;238,45;131.401.495,50;1.669
BGIFUT;17/10/2023;236,80;239,00;236,55;237,90;146.869.998,00;1.873
BGIFUT;16/10/2023;239,20;239,70;236,75;237,10;121.598.944,50;1.549
BGIFUT;13/10/2023;242,00;242,25;238,75;239,35;90.921.220,50;1.147
BGIFUT;11/10/2023;239,75;241,70;239,40;241,60;108.804.003,00;1.370
BGIFUT;10/10/2023;244,25;244,85;240,00;240,00;216.035.506,50;2.709
